TaskNumber;N;FuncNumber;eps;r;min;IsSolvePerebor;timePerebor;IterPerebor;IsSolveAGP;timeAGP;IterAGP;
100; 2; 1; 0.010000; 3.600000; -11.438820; 0; -1; -1; 1; 0.003000; 1; 
10; 2; 1; 0.010000; 3.600000; -12.357895; 0; -1; -1; 1; 0.005000; 40; 
11; 2; 1; 0.010000; 3.600000; -8.298192; 0; -1; -1; 1; 0.004000; 29; 
12; 2; 1; 0.010000; 3.600000; -10.778930; 0; -1; -1; 1; 0.004000; 35; 
13; 2; 1; 0.010000; 3.600000; -9.639990; 0; -1; -1; 1; 0.004000; 36; 
14; 2; 1; 0.010000; 3.600000; -10.846911; 0; -1; -1; 1; 0.004000; 26; 
15; 2; 1; 0.010000; 3.600000; -9.998779; 0; -1; -1; 1; 0.005000; 52; 
16; 2; 1; 0.010000; 3.600000; -13.277557; 0; -1; -1; 1; 0.004000; 31; 
17; 2; 1; 0.010000; 3.600000; -11.205791; 0; -1; -1; 1; 0.005000; 33; 
18; 2; 1; 0.010000; 3.600000; -8.555742; 0; -1; -1; 1; 0.004000; 37; 
19; 2; 1; 0.010000; 3.600000; -11.080536; 0; -1; -1; 1; 0.004000; 9; 
1; 2; 1; 0.010000; 3.600000; -13.514478; 0; -1; -1; 1; 0.007000; 46; 
20; 2; 1; 0.010000; 3.600000; -10.841575; 0; -1; -1; 1; 0.005000; 29; 
21; 2; 1; 0.010000; 3.600000; -10.099151; 0; -1; -1; 1; 0.004000; 25; 
22; 2; 1; 0.010000; 3.600000; -8.821706; 0; -1; -1; 1; 0.005000; 26; 
23; 2; 1; 0.010000; 3.600000; -11.204370; 0; -1; -1; 1; 0.004000; 35; 
24; 2; 1; 0.010000; 3.600000; -9.776697; 0; -1; -1; 1; 0.006000; 74; 
25; 2; 1; 0.010000; 3.600000; -9.446354; 0; -1; -1; 1; 0.005000; 57; 
26; 2; 1; 0.010000; 3.600000; -9.922246; 0; -1; -1; 1; 0.005000; 45; 
27; 2; 1; 0.010000; 3.600000; -9.353058; 0; -1; -1; 1; 0.008000; 70; 
